2023-04-09 10:57:50.044 WARN  org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.validation.mode], use [jakarta.persistence.validation.mode] instead
2023-04-09 10:57:50.136 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-09 10:57:50.230 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@29dcdd1c
2023-04-09 10:57:50.231 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-09 10:57:50.266 INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-04-09 10:57:50.766 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-04-09 10:57:50.774 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-04-09 10:57:50.941 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-04-09 10:57:51.144 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-09 10:57:51.155 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-09 10:57:51.161 INFO  c.I.J.JpaHibernateInmApplication - Started JpaHibernateInmApplication in 2.577 seconds (process running for 3.114)
2023-04-09 10:58:41.593 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-09 10:58:41.595 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-09 10:58:41.598 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
